5/17/2023,Jun-23,OCR ,GCE ,H481/01 ,(Geography) ,Physical systems - Written Paper ,AM ,1h 30m 
6/6/2023,Jun-23,OCR ,GCE ,H481/02 ,(Geography) ,Human interactions - Written Paper ,AM ,1h 30m 
6/12/2023,Jun-23,OCR ,GCE ,H481/03 ,(Geography) ,Geographical debates - Written Paper ,PM ,2h 30m 
6/12/2023,Jun-23,OCR ,GCE ,H543/05 ,(Music) ,Listening and appraising - Written Paper ,PM ,2h 30m 
5/24/2023,Jun-23,OCR ,GCE ,H555/01 ,(Physical Education) ,Physiological factors affecting performance - Written Paper ,PM ,2h 00m 
6/8/2023,Jun-23,OCR ,GCE ,H555/02 ,(Physical Education) ,Psychological factors affecting performance - Written Paper ,AM ,1h 00m 
6/20/2023,Jun-23,OCR ,GCE ,H555/03 ,(Physical Education) ,Socio-cultural issues in physical activity and sport - Written Paper ,AM ,1h 00m 
5/24/2023,Jun-23,OCR ,GCE ,H556/01 ,(Physics A) ,Modelling physics - Written Paper ,PM ,2h 15m 
6/9/2023,Jun-23,OCR ,GCE ,H556/02 ,(Physics A) ,Exploring physics - Written Paper ,AM ,2h 15m 
6/15/2023,Jun-23,OCR ,GCE ,H556/03 ,(Physics A) ,Unified physics - Written Paper ,AM ,1h 30m 
5/24/2023,Jun-23,OCR ,GCE ,H557/01 ,(Physics B (Advancing Physics)) ,Fundamentals of physics - Written Paper ,PM ,2h 15m 
6/9/2023,Jun-23,OCR ,GCE ,H557/02 ,(Physics B (Advancing Physics)) ,Scientific literacy in physics - Written Paper ,AM ,2h 15m 
6/15/2023,Jun-23,OCR ,GCE ,H557/03 ,(Physics B (Advancing Physics)) ,Practical skills in physics - Written Paper ,AM ,1h 30m 
5/19/2023,Jun-23,OCR ,GCE ,H567/01 ,(Psychology) ,Research methods - Written Paper ,AM ,2h 00m 
5/25/2023,Jun-23,OCR ,GCE ,H567/02 ,(Psychology) ,Psychological themes through core studies - Written Paper ,PM ,2h 00m 
6/5/2023,Jun-23,OCR ,GCE ,H567/03 ,(Psychology) ,Applied psychology - Written Paper ,PM ,2h 00m 
6/12/2023,Jun-23,OCR ,GCE ,H573/01 ,(Religious Studies) ,Philosophy of religion - Written Paper ,AM ,2h 00m 
6/19/2023,Jun-23,OCR ,GCE ,H573/02 ,(Religious Studies) ,Religion and ethics - Written Paper ,PM ,2h 00m 
6/26/2023,Jun-23,OCR ,GCE ,H573/03 ,(Religious Studies) ,Developments in Christian thought - Written Paper ,PM ,2h 00m 
6/26/2023,Jun-23,OCR ,GCE ,H573/04 ,(Religious Studies) ,Developments in Islamic thought - Written Paper ,PM ,2h 00m 
6/26/2023,Jun-23,OCR ,GCE ,H573/05 ,(Religious Studies) ,Developments in Jewish thought - Written Paper ,PM ,2h 00m 
6/26/2023,Jun-23,OCR ,GCE ,H573/06 ,(Religious Studies) ,Developments in Buddhist thought - Written Paper ,PM ,2h 00m 
6/26/2023,Jun-23,OCR ,GCE ,H573/07 ,(Religious Studies) ,Developments in Hindu thought - Written Paper ,PM ,2h 00m 
5/22/2023,Jun-23,OCR ,GCE ,H580/01 ,(Sociology) ,"Socialisation, culture and identity - Written Paper ",AM ,1h 30m 
6/9/2023,Jun-23,OCR ,GCE ,H580/02 ,(Sociology) ,Researching and understanding social inequalities - Written Paper ,AM ,2h 15m 
6/14/2023,Jun-23,OCR ,GCE ,H580/03 ,(Sociology) ,Debates in contemporary society - Written Paper ,PM ,2h 15m 
5/18/2023,Jun-23,OCR ,GCE ,H630/01 ,(Mathematics B (MEI)) ,Pure Mathematics and Mechanics - Written Paper ,PM ,1h 30m 
5/25/2023,Jun-23,OCR ,GCE ,H630/02 ,(Mathematics B (MEI)) ,Pure Mathematics and Statistics - Written Paper ,PM ,1h 30m 
6/6/2023,Jun-23,OCR ,GCE ,H640/01 ,(Mathematics B (MEI)) ,Pure Mathematics and Mechanics - Written Paper ,PM ,2h 00m 
6/13/2023,Jun-23,OCR ,GCE ,H640/02 ,(Mathematics B (MEI)) ,Pure Mathematics and Statistics - Written Paper ,PM ,2h 00m 
6/20/2023,Jun-23,OCR ,GCE ,H640/03 ,(Mathematics B (MEI)) ,Pure Mathematics and Comprehension - Written Paper ,PM ,2h 00m 
6/9/2023,Jun-23,OCR ,GCE ,Y101/01 ,(History) ,Alfred and the Making of England 871-1016:Written Paper ,PM ,1h 30m 
6/9/2023,Jun-23,OCR ,GCE ,Y102/01 ,(History) ,Anglo-Saxon England and the Norman Conquest 1035-1107:Written Paper ,PM ,1h 30m 
6/9/2023,Jun-23,OCR ,GCE ,Y103/01 ,(History) ,England 1199-1272:Written Paper ,PM ,1h 30m 
6/9/2023,Jun-23,OCR ,GCE ,Y104/01 ,(History) ,England 1377-1455:Written Paper ,PM ,1h 30m 
6/9/2023,Jun-23,OCR ,GCE ,Y105/01 ,(History) ,"England 1445-1509: Lancastrians, Yorkists and Henry VII:Written Paper ",PM ,1h 30m 
6/9/2023,Jun-23,OCR ,GCE ,Y106/01 ,(History) ,England 1485-1558: the Early Tudors:Written Paper ,PM ,1h 30m 
6/9/2023,Jun-23,OCR ,GCE ,Y107/01 ,(History) ,England 1547-1603: the Later Tudors:Written Paper ,PM ,1h 30m 
6/9/2023,Jun-23,OCR ,GCE ,Y108/01 ,(History) ,The Early Stuarts and the Origins of the Civil War 1603-1660:Written Paper ,PM ,1h 30m 
6/9/2023,Jun-23,OCR ,GCE ,Y109/01 ,(History) ,The Making of Georgian Britain 1678-c.1760:Written Paper ,PM ,1h 30m 
6/9/2023,Jun-23,OCR ,GCE ,Y110/01 ,(History) ,From Pitt to Peel: Britain 1783-1853:Written Paper ,PM ,1h 30m 
6/9/2023,Jun-23,OCR ,GCE ,Y111/01 ,(History) ,"Liberals, Conservatives and the Rise of Labour 1846-1918:Written Paper ",PM ,1h 30m 
6/9/2023,Jun-23,OCR ,GCE ,Y112/01 ,(History) ,Britain 1900-1951:Written Paper ,PM ,1h 30m 
6/9/2023,Jun-23,OCR ,GCE ,Y113/01 ,(History) ,Britain 1930-1997:Written Paper ,PM ,1h 30m 
5/17/2023,Jun-23,OCR ,GCE ,Y136/01 ,(History) ,England 1485-1558: the Early Tudors:Written Paper ,PM ,1h 30m 
5/17/2023,Jun-23,OCR ,GCE ,Y137/01 ,(History) ,England 1547-1603: the Later Tudors:Written Paper ,PM ,1h 30m 
